Date,Value
199806,0.94
199807,1.62
199808,1.08
199809,0.45
199810,0.94
199811,0.49
199812,0.61
199901,0.26
199902,0.62
199903,0.52
199904,0.00
199905,0.23
199906,0.47
199907,0.35
199908,0.42
199909,1.06
199910,0.37
199911,0.15
199912,0.39
200001,0.49
200002,0.14
200003,0.02
200004,0.64
200005,0.27
200006,0.70
200007,-0.32
200008,0.61
200009,0.16
200010,0.82
200011,0.15
200012,0.35
200101,0.31
200102,0.84
200103,0.66
200104,0.67
200105,0.33
200106,0.39
200107,0.84
200108,1.19
200109,0.56
200110,0.76
200111,0.69
200112,0.68
200201,0.53
200202,0.44
200203,0.98
200204,0.78
200205,1.15
200206,0.39
200207,0.80
200208,1.21
200209,0.70
200210,1.42
200211,0.84
200212,0.84
200301,0.96
200302,0.82
200303,0.83
200304,0.53
200305,0.67
200306,1.39
200307,0.67
200308,0.28
200309,0.72
200310,1.04
200311,0.86
200312,0.65
200401,0.82
200402,0.42
200403,0.92
200404,1.10
200405,-0.29
200406,0.74
200407,0.56
200408,0.64
200409,1.04
200410,0.90
200411,0.66
200412,0.82
200501,0.94
200502,0.90
200503,0.89
200504,0.69
200505,0.83
200506,1.30
200507,0.78
200508,1.03
200509,0.14
200510,0.71
200511,0.87
200512,0.37
200601,0.78
200602,0.87
200603,0.75
200604,0.64
200605,-0.09
200606,0.96
200607,1.37
200608,0.97
200609,0.68
200610,1.08
200611,0.52
200612,0.94
200701,1.00
200702,0.80
200703,0.76
200704,1.01
200705,-0.13
200706,0.60
200707,0.26
200708,-0.21
200709,1.03
200710,0.89
200711,0.53
200712,0.55
200801,0.44
200802,0.58
200803,0.41
200804,0.47
200805,0.10
200806,0.10
200807,1.36
200808,1.00
200809,0.55
200810,1.03
200811,1.22
200812,0.74
200901,0.57
200902,0.68
200903,1.01
200904,1.11
200905,0.91
200906,0.43
200907,0.83
200908,1.23
200909,0.80
200910,1.04
200911,1.43
200912,0.75
201001,1.02
201002,1.47
201003,1.62
201004,0.84
201005,0.68
201006,1.10
201007,0.61
201008,0.37
201009,0.97
201010,0.71
201011,0.47
201012,0.71
201101,0.68
201102,0.44
201103,0.37
201104,0.80
201105,0.47
201106,0.91
201107,0.86
201108,0.76
201109,1.14
201110,0.55
201111,0.79
201112,0.67
201201,0.72
201202,0.62
201203,0.71
201204,0.79
201205,0.88
201206,0.96
201207,0.44
201208,0.96
201209,1.35
201210,1.32
201211,1.13
201212,1.10
201301,0.92
201302,0.84
201303,0.62
201304,0.82
201305,0.91
201306,1.17
201307,0.77
201308,0.23
201309,0.62
201310,0.88
201311,0.75
201312,1.26
201401,0.96
201402,0.68
201403,0.57
201404,0.87
201405,0.88
201406,1.20
201407,1.00
201408,1.40
201409,1.54
201410,1.63
201411,0.88
201412,0.85
201501,1.04
201502,0.90
201503,1.12
201504,1.40
201505,1.30
201506,1.63
201507,1.73
201508,1.89
201509,1.68
201510,1.22
201511,1.20
201512,1.49
201601,1.53
201602,1.65
201603,1.27
201604,1.27
201605,0.65
201606,0.33
201607,1.23
201608,1.49
201609,0.85
201610,1.01
201611,0.90
201612,1.12
201701,1.13
201702,1.02
201703,1.03
201704,0.90
201705,1.27
201706,1.28
201707,1.27
201708,1.68
201709,1.43
201710,1.15
201711,0.88
201712,1.05
