Temp,Year
23.9,1998.416667
24.5,1998.5
25.3,1998.583333
25.7,1998.666667
26.3,1998.75
26,1998.833333
26.1,1998.916667
26,1999
26.1,1999.083333
25.9,1999.166667
25.1,1999.25
24,1999.333333
23.7,1999.416667
23.8,1999.5
24.3,1999.583333
25.7,1999.666667
26,1999.75
25.8,1999.833333
26,1999.916667
25.9,2000
25.7,2000.083333
25.5,2000.166667
25.3,2000.25
24.6,2000.333333
24,2000.416667
22.9,2000.5
24.8,2000.583333
25.2,2000.666667
26.5,2000.75
25.9,2000.833333
25.8,2000.916667
25.9,2001
26.1,2001.083333
26,2001.166667
25.8,2001.25
24.6,2001.333333
23.2,2001.416667
24.2,2001.5
25.1,2001.583333
25.7,2001.666667
26.2,2001.75
26.3,2001.833333
26,2001.916667
26,2002
26,2002.083333
26.3,2002.166667
26,2002.25
25.2,2002.333333
24,2002.416667
24.2,2002.5
25.2,2002.583333
25.5,2002.666667
27,2002.75
26.4,2002.833333
26.3,2002.916667
26.4,2003
26.4,2003.083333
26,2003.166667
25.7,2003.25
24.7,2003.333333
24.7,2003.416667
23.9,2003.5
24.2,2003.583333
25.4,2003.666667
26.2,2003.75
26.2,2003.833333
26.5,2003.916667
26.1,2004
25.8,2004.083333
26,2004.166667
26,2004.25
24.4,2004.333333
23.9,2004.416667
23.6,2004.5
24.6,2004.583333
26.2,2004.666667
26.4,2004.75
26.4,2004.833333
26.2,2004.916667
26.6,2005
26.4,2005.083333
26.2,2005.166667
26,2005.25
25.1,2005.333333
24.5,2005.416667
23.8,2005.5
25.4,2005.583333
25.3,2005.666667
26.8,2005.75
26.5,2005.833333
25.9,2005.916667
26.5,2006
26.2,2006.083333
26.1,2006.166667
25.4,2006.25
24.1,2006.333333
23.9,2006.416667
24.3,2006.5
25,2006.583333
25.5,2006.666667
26.6,2006.75
26.1,2006.833333
26.4,2006.916667
26.5,2007
26.2,2007.083333
26.2,2007.166667
25.9,2007.25
24.4,2007.333333
24.3,2007.416667
23.8,2007.5
24.6,2007.583333
26.3,2007.666667
26.7,2007.75
26.3,2007.833333
26.1,2007.916667
25.6,2008
25.8,2008.083333
25.6,2008.166667
25.3,2008.25
24.1,2008.333333
23.4,2008.416667
24.2,2008.5
25.2,2008.583333
25.6,2008.666667
26.7,2008.75
26.3,2008.833333
26,2008.916667
25.9,2009
25.9,2009.083333
26,2009.166667
25.5,2009.25
24.7,2009.333333
23.4,2009.416667
24,2009.5
25,2009.583333
26.1,2009.666667
26.4,2009.75
27,2009.833333
26.2,2009.916667
26.5,2010
27,2010.083333
26.6,2010.166667
25.8,2010.25
24.9,2010.333333
23.7,2010.416667
24.1,2010.5
24.7,2010.583333
26.5,2010.666667
26.5,2010.75
26.1,2010.833333
26.3,2010.916667
26,2011
25.8,2011.083333
25.7,2011.166667
25.6,2011.25
24.7,2011.333333
24.1,2011.416667
24.3,2011.5
25,2011.583333
26,2011.666667
26.1,2011.75
25.9,2011.833333
26.1,2011.916667
25.7,2012
25.9,2012.083333
25.8,2012.166667
25.7,2012.25
24.7,2012.333333
24.2,2012.416667
24,2012.5
25.1,2012.583333
26.4,2012.666667
26.9,2012.75
26.5,2012.833333
26.5,2012.916667
26.3,2013
26.3,2013.083333
26.2,2013.166667
25.5,2013.25
24.9,2013.333333
24.6,2013.416667
24.1,2013.5
24.4,2013.583333
25.9,2013.666667
26.4,2013.75
26.1,2013.833333
26.3,2013.916667
26.3,2014
26.1,2014.083333
25.8,2014.166667
25.8,2014.25
24.9,2014.333333
24.5,2014.416667
24,2014.5
25.2,2014.583333
26.6,2014.666667
26.9,2014.75
26.5,2014.833333
26.3,2014.916667
26.6,2015
26.3,2015.083333
26,2015.166667
25.9,2015.25
25,2015.333333
24.6,2015.416667
24.5,2015.5
25.9,2015.583333
27.1,2015.666667
26.9,2015.75
27,2015.833333
26.9,2015.916667
26.5,2016
26.5,2016.083333
26.5,2016.166667
26.6,2016.25
25,2016.333333
23.9,2016.416667
24.6,2016.5
25.5,2016.583333
25.9,2016.666667
26.8,2016.75
26.5,2016.833333
26.4,2016.916667
26.4,2017
26.3,2017.083333
26.2,2017.166667
25.8,2017.25
25.5,2017.333333
24.7,2017.416667
24.1,2017.5
25.2,2017.583333
26.3,2017.666667
26.7,2017.75
26.4,2017.833333
26.4,2017.916667
